,cartoon_genre,cartoon_names,cartoon_ratings,cartoon_stars
28,"<span class=""genre"">
Animation, Action, Adventure            </span>","<a href=""/title/tt0086817/"">Transformers</a>","<span class=""ipl-rating-star__rating"">8</span>","<a href=""/name/nm0919798/"">Frank Welker</a>"
29,"<span class=""genre"">
Animation, Adventure, Comedy            </span>","<a href=""/title/tt0081933/"">Smurfs</a>","<span class=""ipl-rating-star__rating"">7.2</span>","<a href=""/name/nm0582106/"">Don Messick</a>"
30,"<span class=""genre"">
Animation, Action, Comedy            </span>","<a href=""/title/tt0090506/"">The Real Ghost Busters</a>","<span class=""ipl-rating-star__rating"">7.6</span>","<a href=""/name/nm0005606/"">Maurice LaMarche</a>"
31,"<span class=""genre"">
Animation, Short, Adventure            </span>","<a href=""/title/tt0179618/"">The Twisted Tales of Felix the Cat</a>","<span class=""ipl-rating-star__rating"">7.4</span>","<a href=""/name/nm0011609/"">Thom Adcox-Hernandez</a>"
32,"<span class=""genre"">
Animation, Adventure, Family            </span>","<a href=""/title/tt0088528/"">Adventures of the Gummi Bears</a>","<span class=""ipl-rating-star__rating"">7.5</span>","<a href=""/name/nm0004931/"">June Foray</a>"
33,"<span class=""genre"">
Animation, Action, Adventure            </span>","<a href=""/title/tt0098924/"">TaleSpin</a>","<span class=""ipl-rating-star__rating"">7.6</span>","<a href=""/name/nm0318027/"">Ed Gilbert</a>"
34,"<span class=""genre"">
Animation, Adventure, Family            </span>","<a href=""/title/tt0283721/"">David el gnomo</a>","<span class=""ipl-rating-star__rating"">7.4</span>","<a href=""/name/nm0174537/"">Matilde Conesa</a>"
35,"<span class=""genre"">
Animation, Comedy, Family            </span>","<a href=""/title/tt0088500/"">Count Duckula</a>","<span class=""ipl-rating-star__rating"">7.4</span>","<a href=""/name/nm0165664/"">Barry Clayton</a>"
36,"<span class=""genre"">
Animation, Adventure, Comedy            </span>","<a href=""/title/tt0190178/"">Denver, the Last Dinosaur</a>","<span class=""ipl-rating-star__rating"">6.4</span>","<a href=""/name/nm0289710/"">Pat Fraley</a>"
37,"<span class=""genre"">
Animation, Family            </span>","<a href=""/title/tt0202181/"">Koara bôi Kokkî</a>","<span class=""ipl-rating-star__rating"">7.4</span>","<a href=""/name/nm0945514/"">Yuriko Yamamoto</a>"
38,"<span class=""genre"">
Action, Animation, Family            </span>","<a href=""/title/tt0206500/"">Jonny Quest</a>","<span class=""ipl-rating-star__rating"">7.1</span>","<a href=""/name/nm0041281/"">Rene Auberjonois</a>"
39,"<span class=""genre"">
Animation, Short, Adventure            </span>","<a href=""/title/tt0103373/"">Bobby's World</a>","<span class=""ipl-rating-star__rating"">7.2</span>","<a href=""/name/nm0005177/"">Howie Mandel</a>"
40,"<span class=""genre"">
Animation, Action, Adventure            </span>","<a href=""/title/tt0165046/"">Mega Man</a>","<span class=""ipl-rating-star__rating"">6.6</span>","<a href=""/name/nm0003944/"">Ian James Corlett</a>"
41,"<span class=""genre"">
Animation, Comedy, Sci-Fi            </span>","<a href=""/title/tt0124229/"">Attack of the Killer Tomatoes</a>","<span class=""ipl-rating-star__rating"">6.1</span>","<a href=""/name/nm0040014/"">John Astin</a>"
42,"<span class=""genre"">
Animation, Short, Adventure            </span>","<a href=""/title/tt0115157/"">Dexter's Laboratory</a>","<span class=""ipl-rating-star__rating"">7.9</span>","<a href=""/name/nm0815718/"">Kath Soucie</a>"
43,"<span class=""genre"">
Animation, Comedy, Drama            </span>","<a href=""/title/tt0115200/"">Hey Arnold!</a>","<span class=""ipl-rating-star__rating"">7.6</span>","<a href=""/name/nm0808216/"">Francesca Marie Smith</a>"
44,"<span class=""genre"">
Animation, Adventure, Comedy            </span>","<a href=""/title/tt0108755/"">Duckman: Private Dick/Family Man</a>","<span class=""ipl-rating-star__rating"">7.8</span>","<a href=""/name/nm0004517/"">Jason Alexander</a>"
45,"<span class=""genre"">
Animation, Adventure, Comedy            </span>","<a href=""/title/tt0149460/"">Futurama</a>","<span class=""ipl-rating-star__rating"">8.5</span>","<a href=""/name/nm0921942/"">Billy West</a>"
46,"<span class=""genre"">
Animation, Action, Adventure            </span>","<a href=""/title/tt0140749/"">Mighty Max</a>","<span class=""ipl-rating-star__rating"">7.9</span>","<a href=""/name/nm0667326/"">Rob Paulsen</a>"
47,"<span class=""genre"">
Animation, Action, Comedy            </span>","<a href=""/title/tt0173344/"">Toxic Crusaders</a>","<span class=""ipl-rating-star__rating"">6.5</span>","<a href=""/name/nm0074185/"">Gregg Berger</a>"
48,"<span class=""genre"">
Animation, Action, Family            </span>","<a href=""/title/tt0103584/"">X-Men</a>","<span class=""ipl-rating-star__rating"">8.5</span>","<a href=""/name/nm0807649/"">Cedric Smith</a>"
49,"<span class=""genre"">
Animation, Action, Adventure            </span>","<a href=""/title/tt0103559/"">Street Sharks</a>","<span class=""ipl-rating-star__rating"">6.2</span>","<a href=""/name/nm0710330/"">Andrew Rannells</a>"
50,"<span class=""genre"">
Animation, Comedy, Family            </span>","<a href=""/title/tt0106115/"">Rocko's Modern Life</a>","<span class=""ipl-rating-star__rating"">7.9</span>","<a href=""/name/nm0016141/"">Carlos Alazraqui</a>"
51,"<span class=""genre"">
Animation, Adventure, Comedy            </span>","<a href=""/title/tt0101178/"">The Ren &amp; Stimpy Show</a>","<span class=""ipl-rating-star__rating"">7.5</span>","<a href=""/name/nm0471136/"">John Kricfalusi</a>"
52,"<span class=""genre"">
Animation, Action, Adventure            </span>","<a href=""/title/tt0108903/"">ReBoot</a>","<span class=""ipl-rating-star__rating"">7.9</span>","<a href=""/name/nm0233036/"">Michael Donovan</a>"
53,"<span class=""genre"">
Animation, Comedy, Family            </span>","<a href=""/title/tt0179596/"">Mr. Bogus</a>","<span class=""ipl-rating-star__rating"">7.4</span>","<a href=""/name/nm0164682/"">Cam Clarke</a>"
